id,name,type,flags,description
8762,Kinfall Fractal,Default,"['CategoryDisplay', 'MoveToTop', 'Permanent']",
8745,Mini Collection—Janthir Wilds,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']","Fuzzy felines, bees, and bearkin!"
5773,Return to Dry Top 1,Default,"['Pvp', 'RepairOnLogin', 'CategoryDisplay', 'Permanent']",
3066,Don't Cross the Streams,Default,"['Hidden', 'Permanent']",Every molecule in your body exploded at the speed of light.
6099,Turtle Unlock: Suiting Up,ItemSet,"['Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
7706,(Weekly) Convergences,Default,"['CategoryDisplay', 'MoveToTop', 'Weekly']",Hope you enjoy your stay—Kryptis hordes are on the way!
3745,Warpblade,ItemSet,"['Pvp', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']",
3029,Anomalies of the World,Default,['Permanent'],
6162,Echovald Wilds Mastery,Default,"['CategoryDisplay', 'MoveToTop', 'Permanent']","Though Echovald may not always grow, it is far from dead."
1075,Toxic Gardener,Default,['Daily'],Aid in the destruction of toxic offshoots.
4192,Roller Beetle Training: Silver,Default,['Permanent'],
4040,Champion's Dawn,Default,['Permanent'],Journal: Champion's Dawn Completed
2565,"""Endurance"" Strongbox",Default,['Permanent'],
6071,On the Case,Default,['Permanent'],Journal: On the Case
3150,Skrilla's Benefactor,Default,['Permanent'],Fastest way to a skritt's heart.
340,Shattered,Default,['Permanent'],They're really quite brittle.
1577,Pirate Purger,Default,"['Pvp', 'Permanent']",
2104,Daily Elementalist or Mesmer Winner,Default,"['Pvp', 'Daily']",
4834,Hologram Herder,Default,['Permanent'],
4779,Quell the Storm,Default,['Permanent'],Fight hard against the treacherous tempest.
5098,Ox's Revelation,Default,['Permanent'],
3373,Spirit Watch Killer,Default,"['Pvp', 'Permanent']",Only one team can ascend.
6296,Daily End of Dragons Forager,Default,['Daily'],Fueling the engines of the economy.
8903,Bar Bouncer,Default,['Permanent'],We're under new management.
2570,The Most Dangerous Game,Default,['Permanent'],"No, the prey isn't human..."
6842,Black Lion Requisition Mission Week 1,Default,"['IgnoreNearlyComplete', 'Permanent']",The Black Lion Trading Company needs your help!
8692,Daily Echovald Wilds,Default,['Daily'],
2545,Machined Focus,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
6534,The Path of Most Resistance,Default,['Permanent'],
4384,Not Today,Default,['Permanent'],"Nothing is allowed to have that many legs and stay alive.

Story Instance: Legacy"
2809,Dragon's Gaze,Default,"['Pvp', 'Permanent']",
2533,Daily Recommended Fractal—Scale 31,Default,['Daily'],
3674,Adept Renegade,Default,"['Pvp', 'Permanent']",
7150,Skywatch Archipelago Insight: MinSec Server Room,Default,['Permanent'],
1021,Candy Craver,Default,['Daily'],
9066,Shipwreck Strand Insight: Riddled Cove 2,Default,['Permanent'],
2574,Treetop Retriever,Default,['Permanent'],They made the ultimate sacrifice.
762,Speedy Sprinter,Default,"['Pvp', 'Permanent']",Place among the top three racers in Sanctum Sprint.
7983,Convergence Challenge Mode—Demon Knight: Gold,Default,['Permanent'],Fear not this Demon Knight.
3085,Surf and Turf,Default,"['Pvp', 'CategoryDisplay', 'Permanent']",Sea or Shore? Who will prevail?
3174,Bitterfrost Frontier Insight: The Bitter Cold,Default,['Permanent'],
7618,Bitterfrost Frontier Incursions,Default,['Weekly'],
5403,Death to the Dominion,Default,"['Pvp', 'Permanent']",
5682,Ooze Herding,Default,['Permanent'],Safe ooze handling is an important lesson in any curriculum.
844,Daily Hostage Negotiator,Default,['Daily'],
4762,Vision I: Awakening,Default,"['Pvp', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']",Breathe deeply and open all three of your eyes.
919,What Does She Know?,Default,['Permanent'],"So close, yet so far."
4193,For Petey's Sake,Default,"['Pvp', 'RepairOnLogin', 'Permanent']",Find the collections requested by Gorrik to nurse Petey back to health.
1060,Trick-or-Treater V,Default,"['Pvp', 'Daily']",
8448,(Weekly) Convergences: Mount Balrior,Default,"['CategoryDisplay', 'MoveToTop', 'Weekly']","""Gather 'round for another tale of triumph and struggle..."""
4171,Master Diver: Kessex Hills,Default,['Permanent'],This chest can be reopened once per week or per completion of the Master Diver achievement.
1712,Fractal Master,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']","<c=@flavor>WARNING: some fractals may cause injury, psychic trauma, blindness, or death.</c>"
3475,Siren's Landing Insight: Lava Leap,Default,['Permanent'],
6902,Gyala Delve Jade Bot Racer: Silver,Default,['Permanent'],
1130,Tower Antitoxin Injector,Default,['Daily'],
8546,This is my story.,Default,"['Pvp', 'Permanent']","This title can be purchased from Shiny King M'takk in Hooligan's Route in Lion's Arch if you meet the requirements. 

Surely it must be an official title if a self-proclaimed skritt king gives it to you, right?"
2026,Daily Claw of Jormag,Default,['Daily'],
8615,Lightbringer,Default,"['Pvp', 'Permanent']","This title can be purchased from Shiny King M'takk in Hooligan's Route in Lion's Arch if you meet the requirements. 

Surely it must be an official title if a self-proclaimed skritt king gives it to you, right?"
3489,Aurora II: Empowering,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
1283,Spreading Wintersday Joy IV,Default,['Daily'],Make the lives of the less fortunate in Divinity's Reach a little better.
9110,Castoran Coral: Inquest Investigation,Default,"['Pvp', 'RequiresUnlock', 'Permanent']",The Inquest will salvage whatever they can in a place like Castora.
4167,Survey on Subjects of Importance,Default,['Permanent'],
6159,An Impostor Walks among Us,Default,['Permanent'],You'll have to take off your shoes.
6934,Peace and Quiet,Default,['Permanent'],
1728,Fine Wining,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']",
6161,Arborstone Hide-and-Seek Master,Default,['Permanent'],
3841,Domain of Vabbi Insight: Zagonur Towers,Default,['Permanent'],
1702,Mischief Maker,Default,['Permanent'],Story Instance: Recalibrating the Waypoints
5349,Special Mission: Declawed,Default,"['RequiresUnlock', 'Permanent']",
3473,Abaddon's Ascent,Default,['Permanent'],Conquer your acrophobia!
2392,Sign Cutting,Default,['Permanent'],Journal: Sign Cutting Completed
319,Stay Out!,Default,['Permanent'],"When you say you'll defend something, you really mean it!"
3797,Master of Mummies,Default,['Permanent'],"Story Instance: ""Enemy of My Enemy"""
4076,Friends in High Places,Default,"['Pvp', 'Hidden', 'Permanent']",You've always got a friend at ArenaNet.
1192,Shockwave Skipper,Default,['Permanent'],They can't hurt what they can't hit.
6078,Slippery as a Fish,Default,['Permanent'],
5606,Bright Inquisitor Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
6198,Misty Leap,Default,['Permanent'],
8960,Shipwreck Strand Insight: Guarded Glades,Default,['Permanent'],
5532,Daily Crystal Bloom Missions,Default,['Daily'],
8953,Hidden Quiggles,Default,"['Hidden', 'Permanent']",Now how did he end up there?
4757,Visions of Dragonfall,ItemSet,"['Pvp', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']","Crashing to the earth, cleaving the Mists...

Note: Completion of this achievement requires completion of the Riding Skyscales achievement."
1814,Luminescent Gloves,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']",
3505,Live Wire,Default,"['Hidden', 'Permanent']",
4319,Blitz Breaker,Default,['Daily'],
2651,Loot Finder,Default,['Permanent'],
1927,Daily Pig Iron Quarry Jumping Puzzle,Default,"['Pvp', 'Daily']",
553,"Bachelor of Secrets, World 1",Default,['Permanent'],Bombs not included.
2779,Silver for the Season,Default,"['Hidden', 'Permanent']",
6295,Prima Donna,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
6303,Dragon's End Culture: The Luxon Armada,Default,['Permanent'],
6616,Defeating the Icebrood,Default,['Permanent'],
3009,Thwart the Inquest,Default,['Permanent'],
4052,(Annual) Snow Drifter,Default,['Permanent'],
6312,Head's Up!,Default,['Permanent'],
3273,Light Up the Sky,Default,"['Pvp', 'Permanent']",
4005,Daily Domain of Istan Racer,Default,['Daily'],
4408,Words of Mending,Default,"['Pvp', 'RepairOnLogin', 'Permanent']",
3215,Daily Recommended Fractal—Scale 64,Default,['Daily'],
2698,League Top Stats—Recruit,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",Completing this achievement advances the meta-achievement Path of the Ascension I: The Thrill of Battle.
7912,Realm Avenger IX,Default,['Permanent'],
3439,White Hat,Default,['Permanent'],"""I'll create a BLUI interface using virtual cones—see if I can track the device."" —Taimi"
3996,The First City,Default,['Permanent'],Journal: The First City Completed
7883,True Dragon,Default,"['Pvp', 'Permanent']",Glory to the true dragon!
965,Daily Aetherblade Ender,Default,['Daily'],
3312,Commanding Officer,Default,"['Pvp', 'Permanent']",The best commanders have the loyalty of their troops.
4987,Bodyguarded,Default,['Permanent'],
1812,Defender: Amber Sandfall,Default,['Permanent'],
4440,Mad Drifter,Default,['Permanent'],
7754,Returning to Scarlet's War,Default,['Permanent'],
7998,Reuniting Lost Kryptis: Gold,Default,['Permanent'],
9147,Weekly Salvation Pass,Default,['Weekly'],
1332,Wurm Phytotoxin Collector,Default,['Permanent'],
8013,Devona's Rest Veteran,Default,"['Pvp', 'Hidden', 'Permanent']",Days gone by...
6835,(Weekly) Ruin Runner,Default,['Weekly'],
5113,Voice in the Deep,Default,['Permanent'],Journal: Voice in the Deep Completed
2164,Auric Basin Insight: Southwatch Creep,Default,['Permanent'],
8492,The Queen of Battle,Default,['Permanent'],Journal: Battle's Eve
6891,Paladin's Decree Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
4333,Day Trader,Default,"['Pvp', 'Daily']",
8899,Shipwreck Strand Insight: Jetsam Point,Default,['Permanent'],
8920,Wavehawk Delivery,Default,['Permanent'],They didn't even leave a tip.
127,Salvage Master,Default,"['Pvp', 'Permanent']",More interested in what's inside...or just in seeing it fall apart.
8791,Revenge of the Kryptis,Default,['Permanent'],
6263,Avid Krytan Fisher,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Repeatable', 'Permanent']","<c=@flavor>The charm of fishing is in pursuing something elusive, though attainable. It is a simple yet profound practice of hope.</c>"
5200,Emergency Maintenance,Default,['Permanent'],
7084,Legendary Weapon: Sunrise,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
7870,Realm Avenger V,Default,['Permanent'],
1064,Toxic Spore Cleanser,Default,['Daily'],
4948,Grothmar Grand Tour: Pole Position,Default,['Permanent'],
5529,Crystal Bloom Global Ranks,Default,['Permanent'],
3681,Blood and Sand,Default,['Permanent'],Rumors in Elon Riverlands speak of a terrifying sand shark that's attracted to the scent of blood in the dunes.
5917,Revenge of Kuda,Default,['Permanent'],
3191,Delicious Desserts,Default,['Permanent'],
718,Learn to Kite,Default,"['MoveToTop', 'Permanent']",
8399,Road of Victory IV,Default,"['Pvp', 'Permanent']",
8192,Very Enthusiastic about Wrestling,Default,['Permanent'],Let the entire arena know about your passion!
5985,Return to Forging Steel,Default,['Permanent'],
6575,Weekly Jade Vault,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
7768,Local Response: Battle for Lion's Arch (Weekly),Default,['Permanent'],
7148,Hide-and-Seek in the Wizard's Tower: Master,Default,['Permanent'],
8810,Incursive Investigation: Troubleshooting 3,Default,"['RequiresUnlock', 'Permanent']",The target badges can be found in quickplay fractals or in regular fractals.
1560,WvW Spring Tournament 2014: 4th Place,Default,"['Pvp', 'Hidden', 'MoveToTop', 'Permanent']",
8189,Scouting for Scouts,Default,['Permanent'],Journal: Missing in Action
4978,Light it up!,Default,['Permanent'],
7897,Heights of Glory,Default,"['Pvp', 'RepairOnLogin', 'CategoryDisplay', 'Permanent']",
1181,Toxic Spore Cleanser,Default,['Daily'],
1,Centaur Slayer,Default,['Permanent'],A few more centaur herds are thinned out.
7799,Inner Nayos: Nyedra Surrounds Savior,Default,"['IgnoreNearlyComplete', 'Permanent']",You can rest at ease knowing you've helped out everywhere in Nyedra Surrounds.
2116,Daily Warrior or Mesmer Winner,Default,"['Pvp', 'Daily']",
5531,Daily Ebon Vanguard Missions,Default,['Daily'],
5300,Special Mission: Thirsty Work,Default,"['RequiresUnlock', 'Permanent']",
7715,Hero's Origin: Caledon Forest,Default,['Permanent'],
4250,Domain of Kourna Griffon Master: Silver,Default,['Permanent'],
2087,Shadow Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
860,Woodpecker,Default,['Permanent'],Take down the kingpin.
2147,Verdant Brink Insight: Creaking Cavern,Default,['Permanent'],
101,Ascalon Explorer,Default,['Permanent'],You've explored the ancestral territory of the charr.
1112,The Nightmares Within,Default,['Daily'],
6398,Cleanup Duty,Default,['Permanent'],
1242,Regifter,Default,"['Pvp', 'Hidden', 'Permanent']",One for me...
6763,Toxic Krait Transcriber,Default,['Permanent'],
1324,Boss Thumper VIII,Default,['Daily'],
6000,Bounty Hunter: Domain of Istan,Default,['Permanent'],
2980,Daily Adventure: A Fungus Among Us,Default,"['Pvp', 'Daily']",
2405,Daily Recommended Fractal—Scale 4,Default,['Daily'],
5992,Crop Harvester: Sandswept Isles,Default,['Permanent'],
7177,Skywatch Archipelago Insight: Southern Clearing,Default,['Permanent'],
6423,Playing with the Infants,Default,['Permanent'],Our guardians said we could play here!
5484,Dragon Response Master,Default,['Permanent'],
1747,Zodiac Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",<c=@flavor>Will you unlock the mystery of the stars after collecting all these skins? Only one way to find out.</c>
8089,Wavering Ward,Default,['Permanent'],A full party of five must participate in the fractal from start to finish without dying.
6972,Bringing Balance,Default,['Permanent'],"Books are stacked on the left, paper and pens to the right... Everything had its place on Lyhr's desk—even a rusted stein, sitting atop an old journal with the letter ""R"" carved on its leatherbound spine."
3041,Seaside Victory,Default,"['Pvp', 'Permanent']",To the victor go the seashells.
3919,Courtly Service,Default,['Permanent'],
8415,Return to Season 4,Default,"['Pvp', 'RepairOnLogin', 'CategoryDisplay', 'Permanent']",
342,That Had to Burn,Default,['Permanent'],Good thing we built this megalaser here.
1657,Fire for Effect,Default,['Permanent'],Story Instance: Discovering Scarlet's Breakthrough
8746,Master Mingler,Default,['Permanent'],Journal: Salvation's Cost
5671,Etherbound Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
6732,Decade of Champions: Fire Elemental,Default,['Permanent'],
7247,Sparkfly Fen Incursions,Default,['Weekly'],
8354,Scouting the Vale: Bronze,Default,['Permanent'],
5152,League Conqueror—2v2 Season One,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",
7227,Uncertain Times,Default,['Permanent'],Journal: Uncertain Times.
6974,Nurture Knowledge,Default,['Permanent'],The more you know...
8707,Agonizing Cold,Default,['Permanent'],
5630,Daily Caledon Forest Dragon Response Mission,Default,['Daily'],
8092,Seafarer's Rest Veteran,Default,"['Pvp', 'Hidden', 'Permanent']",Days gone by...
6155,Daily Echovald Wilds Jade Brotherhood Slayer,Default,['Daily'],
8818,Sunjiang Slayer,Default,"['Pvp', 'Permanent']",Vanquish your foes.
3027,Keadin's Study,Default,['Permanent'],"<c=@flavor>""Such things we could learn!""
—Keadin</c>"
7032,A Chapter Closed,Default,['Permanent'],Journal: Treachery
6742,Decade of Battle: Player vs. Player,Default,"['Pvp', 'Permanent']",
8663,Rolling Racer: Lakeside Loop (Weekly),Default,['Permanent'],
2356,Bolt II: The Perfected Sword,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']","Your first attempt at crafting the legendary precursor Zap has been modestly successful but has not yet yielded the weapon you ultimately desire. This journey has only just begun. Find a teacher, research your procedures, and hone your skills before you try a second time."
4744,Glory of Dragons,Default,['Permanent'],Journal: Glory of Dragons Complete
1947,Daily Sparkfly Fen Event Completer,Default,['Daily'],Scour the mountains.
6428,New Kaineng City Mastery,Default,"['CategoryDisplay', 'MoveToTop', 'Permanent']","As long as the Canthan people stand, so will Kaineng."
8318,Mulch Master,Default,['Permanent'],"Where others see waste, you see an opportunity to leap into action!"
1832,Invisible Infiltration,Default,['Permanent'],Story Instance: Meeting the Asura
8110,Reconquering the Searing Ascent (Weekly),Default,['Permanent'],
1387,Group Effort IV,Default,"['Pvp', 'Repeatable', 'Permanent']",Mission: The Battle for Lion's Arch
3741,Race to the Finish: Desert Highlands,Default,['Permanent'],
6179,Shiverpeaks Fisher,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']","<c=@flavor>The charm of fishing is in pursuing something elusive, though attainable. It is a simple yet profound practice of hope.</c>"
1369,Some Say It's Your Specialty,Default,['Permanent'],
7249,Assist Lyhr,Default,['Permanent'],Journal: Tower of Secrets
8912,Shipwreck Strand Insight: Twisting Hollows 2,Default,['Permanent'],
5424,Ears Wide Open,Default,['Permanent'],"Charr have four ears, but it doesn't hurt to have a few extra."
6715,Viewing Vistas III,Default,['Permanent'],
7705,Behind Demon Lines,Default,['Permanent'],Chaos meets surprising beauty in the Realm of Dreams.
4334,Boss Blitz,Default,['Permanent'],
3391,Knight of the Thorn,Default,"['Hidden', 'Permanent']",
4441,Mad King's Herald (Intern),Default,"['Pvp', 'Repeatable', 'Permanent']",
193,Griffonrook Run,Default,['Permanent'],Cross the spires of Griffonrook Run.
4471,Rolling Competitor: Infernal Leap,Default,['Permanent'],
8788,Local Response: Inner Nayos,Default,['Permanent'],
8206,Feeding Trolls,Default,['Permanent'],I'm useless until I've had my toast and eggs. Throw those trolls a bone!
288,Yakslapper,Default,['Permanent'],You're a caravan's worst nightmare.
2744,League Elementalist—Veteran,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",Completing this achievement advances the League Profession—Veteran achievement.
3166,A Sweet Friend,Default,"['Pvp', 'CategoryDisplay', 'Permanent']",
4591,Expert Archaeologist,Default,['Permanent'],
1650,No Seraph Left Behind,Default,['Permanent'],Story Instance: Disturbance in Brisban Wildlands
1880,Daily Grounded Minidungeon,Default,['Daily'],
3015,Informed Politics,Default,['Permanent'],
56,Focus Master,Default,['Permanent'],Only fools see this as an ornament. Only a master knows how to channel magic through it.
36,Imp Slayer,Default,['Permanent'],Don't worry. Demon blood is easy to wash out.
4888,Bonus Event: Daily Champion Rush—Shiverpeaks,Default,['Daily'],
92,Weaponsmith,Default,['Permanent'],Serious melee-weapon-crafting skills.
6307,Priority Cantha Strike: Harvest Temple,Default,['Daily'],
4160,(Annual) World 2 Challenge,Default,['Permanent'],"If you never climb, you'll never see the view from the top."
3182,Elixir Recipe,Default,['Permanent'],Journal: Elixir Recipe Completed
4045,(Annual) Festival Automaton,Default,['Permanent'],
8834,Weekly Fractal Incursion,Default,['Weekly'],
5402,Special Mission: Blast Them All,Default,"['RequiresUnlock', 'Permanent']",
4121,Race to the Finish: Olmakhan Docks,Default,['Permanent'],
2745,League Revenant—Elite,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",Completing this achievement advances the League Profession—Elite achievement.
5473,League Conqueror—Conquest Season Twenty-Four,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",
7144,Echoes of the Obscure,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']",
4817,Eye Survived,Default,"['Pvp', 'Permanent']",
7797,Better Consumer Than Consumed,Default,['Permanent'],Wild bristlefruit provides all the essential vitamins and nutrients a growing Kryptis needs.
2681,League Engineer—Champion,Default,"['IgnoreNearlyComplete', 'Pvp', 'Permanent']",Completing this achievement advances the League Profession—Champion achievement.
1592,Festival of the Four Winds,Default,"['Pvp', 'CategoryDisplay', 'Permanent']",
3934,Festive Feud,Default,['Daily'],
451,Daily Puzzle Discoverer,Default,"['Pvp', 'Daily']",Just find the entrance.
4210,Daily Tier 3 Deepstone,Default,['Daily'],
3743,Desert Highlands Champion Bounties,Default,['Permanent'],
119,Legend of the Mists,Default,"['IgnoreNearlyComplete', 'Permanent']",You follow the tradition of a long line of heroes.
7794,Danced with the Stars,Default,['Permanent'],
3873,Elon Riverlands Griffon Expert: Silver,Default,['Permanent'],
5386,The Ghost,Default,['Permanent'],Story Instance: Behind Enemy Lines
6859,(Weekly) Keep Keeper,Default,['Weekly'],
2907,Daily Tier 2 Urban Battleground,Default,['Daily'],
4109,Drones Disabled,Default,['Permanent'],Story Instance: The Test Subject
4332,Blood Sport Enthusiast,Default,['Permanent'],
810,Meatless Murderer,Default,['Permanent'],
5503,Flame vs. Frost,Default,['Permanent'],Journal: Flame vs. Frost Completed
4995,Professional Bouncer,Default,['Permanent'],
5800,Second Dive: Hot Splashes,Default,['Permanent'],
592,Southsun Lava Sample Collection,Default,['Permanent'],Collect a sample from the lava pool in the Karka Hive.
792,Hot-Air Balloonist,Default,['Daily'],
6316,Ravenous No Longer,Default,['Permanent'],
8941,Tread Lightly,Default,"['Hidden', 'Permanent']",Watching it sleep is a small window into what it was before the seers made it a seneschal.
3823,Smashing!,Default,['Permanent'],"Defeat Ellutherius Wintergust without being hit by his pot attacks, three consecutive times."
4531,Chasing Tales: A Light in the Dark,Default,"['Hidden', 'Permanent']",Haliver would go where no other would.
4801,Storm Chaser,Default,['Permanent'],Don't let a windbag blow you off course.
6714,Decade of Champions: The Shatterer,Default,['Permanent'],
4835,Dragon Slapper,Default,['Daily'],
9012,Starlit Weald Insight: The Winding Passage,Default,['Permanent'],
247,Gladiator,Default,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']","Get your feet wet, rookie."
